1,18,Apr 24,ATL,,NYM,L,2-3,GS-6,L(0-1),99,5.1,6,3,3,2,1,0,0,5.06,21,80,45,8,4,6,12,5,1,0,43,,,0,1,0,17,1,0,0,2,1,0,1.14,-0.125,-0.48,,, 1t start tie, 6t -23 1 out d1
2,23,Apr 29,ATL,@,CHC,L,1-6,GS-6,,4,6.0,2,1,1,3,3,0,0,3.18,21,85,48,14,7,7,8,2,3,0,64,,,0,0,0,18,1,0,0,1,0,0,1.18,0.207,2.00,,, 1b start tie, 6b 3 out tie
3,28,May 6,ATL,,ARI,L,2-7,GS-5,L(0-2),6,5.0,5,3,2,4,1,0,0,3.31,23,92,54,16,4,6,12,8,1,0,44,,,1,0,0,19,1,0,1,0,0,1,.86,-0.120,-0.57,,, 1t start tie, 5t 3 out d3
4,33,May 12,ATL,,PHI,L,4-7,GS-4,,5,3.2,6,4,3,2,2,1,0,4.05,18,77,46,10,9,8,6,2,0,0,35,,,1,0,0,15,0,0,0,1,1,0,.87,-0.156,-1.49,,, 1t start tie, 4t 12- 2 out d3
5,38,May 17,ATL,@,PIT,L,9-12,GS-2,L(0-3),4,1.1,9,9,9,1,1,0,0,7.59,14,40,27,4,2,3,9,8,0,0,0,,,0,0,0,13,4,0,1,0,0,0,.96,-0.422,-7.69,,, 1b start tie, 2b -2- 1 out d8
6,48,May 28,ATL,,MIA,W,7-2,GS-6,,10,5.2,5,2,2,2,5,0,1,6.67,26,94,60,17,7,12,6,3,1,0,54,,,0,0,0,22,0,1,0,0,0,1,.84,0.036,0.69,,, 1t start tie, 6t 1-- 2 out d1
7,53,Jun 2,ATL,,SFG,L,0-6,GS-5,L(0-4),4,4.0,5,6,6,4,3,3,1,7.55,22,85,49,12,8,6,8,1,2,0,27,,,1,0,0,17,1,0,0,0,0,0,1.08,-0.255,-4.06,,, 1t start tie, 5t --- 0 out d6
8,58,Jun 7,ATL,@,SDP,L,3-4,GS-5,,4,4.1,6,2,2,3,4,0,1,7.13,22,86,46,8,12,9,5,3,0,0,44,,,1,0,0,18,0,0,0,0,0,0,1.12,-0.045,-0.18,,, 1b start a 1, 5b 123 1 out a2
9,63,Jun 13,ATL,,CIN,L,8-9,GS-5,,5,5.0,4,6,6,4,3,1,0,7.59,23,103,61,11,10,3,13,4,5,0,34,,,0,0,0,17,0,1,0,0,2,0,1.09,-0.371,-3.57,,, 1t start tie, 5t 3 out d1
10,68,Jun 18,ATL,@,NYM,W,4-3,GS-6,,4,6.0,5,3,3,1,4,2,0,7.19,24,82,54,11,9,6,13,5,1,0,53,,,0,0,0,22,1,1,0,0,1,0,.79,-0.060,-0.15,,, 1b start tie, 6b 3 out d1
11,73,Jun 24,ATL,,NYM,L,6-8,GS-5,L(0-5),5,4.1,7,8,8,3,2,1,1,7.99,24,72,48,12,10,10,8,3,1,0,16,,,0,0,0,19,2,0,1,0,1,0,.82,-0.307,-6.08,,, 1t start tie, 5t 1-- 1 out d8
12,131,Aug 28,ATL,@,SFG,L,4-13,GS-4,L(0-6),64,4.0,8,5,5,0,3,3,1,8.23,20,67,38,11,6,5,11,9,0,0,29,,,0,0,0,19,1,1,0,0,0,0,.81,-0.304,-3.10,,, 1b start a 1, 4b 3 out d4
13,150,Sep 19,ATL,@,NYM,W,7-3,GS-6,W(1-6),21,6.0,4,2,2,1,4,1,0,7.71,23,86,56,11,9,5,13,6,2,0,59,,,0,0,0,22,1,0,0,0,0,0,.74,0.178,0.85,,, 1b start tie, 6b 3 out a3
14,155,Sep 24,ATL,@,MIA,L,4-6,GS-4,L(1-7),4,3.1,6,5,5,3,0,1,1,8.02,20,80,42,9,5,8,8,4,0,0,25,,,2,0,0,15,0,1,1,0,1,0,1.38,-0.353,-3.30,,, 1b start a 1, 4b 1-3 1 out d2
15,160,Oct 1,ATL,,DET,W,5-3,GS-7,W(2-7),6,6.0,4,2,2,1,10,1,0,7.59,23,85,57,10,21,5,7,3,2,0,65,,,0,0,0,21,1,0,0,0,0,0,.96,0.102,0.91,,, 1t start tie, 7t --- 0 out a1
